dist	n
0	0
1	0
2	0
3	0
4	149
5	161
6	187
7	78
8	108
9	189
10	290
11	259
12	316
13	320
14	369
15	348
16	408
17	355
18	344
19	349
20	380
21	377
22	351
23	362
24	352
25	366
26	341
27	321
28	338
29	343
30	325
31	325
32	290
33	300
34	295
35	227
36	183
37	177
38	170
39	134
40	109
41	101
42	90
43	88
44	75
45	75
46	88
47	60
48	55
49	45
50	45
51	26
52	22
53	24
54	16
55	13
56	10
57	12
58	9
59	8
60	5
61	5
62	4
63	1
64	2
